相手,段数,目安の得点差,重み,経路,試合1,試合2,試合3
都・東村山,3,-1,0.042,武蔵丘 → 豊多摩 → 工学院大附 → 都・東村山,武蔵丘 ○ 0-0 PK勝 5-3 豊多摩（2022 総体 2回戦）,豊多摩 ○ 1-1 PK勝 5-4 工学院大附（2025 選手権 2回戦）,工学院大附 × 2-3 都・東村山（2026 総体 1回戦）
都・東村山,3,8,0.042,武蔵丘 → 昭和第一学園 → 中央大学附属 → 都・東村山,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 5-0 中央大学附属（2025 総体 ブロック決勝）,中央大学附属 ○ 3-0 都・東村山（2026 総体 ブロック決勝）
都・東村山,3,0,0.042,武蔵丘 → 城北 → 都・国分寺 → 都・東村山,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 × 1-5 都・国分寺（2026 総体 1回戦）,都・国分寺 ○ 9-0 都・東村山（2023 総体 2回戦）
都・東村山,3,2,0.0294,武蔵丘 → 日大鶴ヶ丘 → 明星学園 → 都・東村山,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 × 3-5 明星学園（2023 総体 1回戦）,明星学園 ○ 5-0 都・東村山（2025 選手権 2回戦）
都・東村山,3,3,0.0294,武蔵丘 → 日大鶴ヶ丘 → 都・東大和南 → 都・東村山,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 × 0-1 都・東大和南（2023 選手権 2回戦）,都・東大和南 ○ 7-0 都・東村山（2025 新人戦 2回戦）
都・東村山,3,2,0.0294,武蔵丘 → 目黒 → 都・小平南 → 都・東村山,武蔵丘 ○ 2-0 目黒（2025 総体 2回戦）,目黒 × 0-2 都・小平南（2023 選手権 1回戦）,都・小平南 ○ 3-1 都・東村山（2024 新人戦 1回戦）
都・東村山,3,2,0.0294,武蔵丘 → 都・府中 → 桐朋 → 都・東村山,武蔵丘 ○ 4-0 都・府中（2023 選手権 1回戦）,都・府中 × 1-6 桐朋（2025 総体 2回戦）,桐朋 ○ 3-0 都・東村山（2024 総体 2回戦）
都・東村山,3,-1,0.0294,武蔵丘 → 保善 → 都・羽村 → 都・東村山,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 22-0 都・羽村（2025 選手権 1回戦）,都・羽村 × 1-2 都・東村山（2024 総体 1回戦）
都・東村山,3,7,0.0294,武蔵丘 → 野津田 → 町田工業 → 都・東村山,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 6-0 町田工業（2026 総体 1回戦）,町田工業 ○ 2-1 都・東村山（2022 選手権 2回戦）
都・東村山,3,4,0.0294,武蔵丘 → 城北 → 都小山台 → 都・東村山,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 4-0 都小山台（2024 総体 2回戦）,都小山台 ○ 2-1 都・東村山（2024 選手権 1回戦）
都・東村山,3,6,0.0294,武蔵丘 → 城北 → 都・小平南 → 都・東村山,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 ○ 5-0 都・小平南（2024 選手権 2回戦）,都・小平南 ○ 3-1 都・東村山（2024 新人戦 1回戦）
都・東村山,3,1,0.0294,武蔵丘 → 星槎国際八王子 → 桐朋 → 都・東村山,武蔵丘 × 1-1 PK負 2-4 星槎国際八王子（2025 選手権 2回戦）,星槎国際八王子 × 1-3 桐朋（2023 新人戦 2回戦）,桐朋 ○ 3-0 都・東村山（2024 総体 2回戦）
都・東村山,3,3,0.0206,武蔵丘 → 明大中野 → 中央大学附属 → 都・東村山,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 ○ 3-1 中央大学附属（2023 選手権 2回戦）,中央大学附属 ○ 3-0 都・東村山（2026 総体 ブロック決勝）
都・東村山,3,9,0.0206,武蔵丘 → 杉並 → 聖徳学園 → 都・東村山,武蔵丘 ○ 8-1 杉並（2023 新人戦 2回戦）,杉並 ○ 8-0 聖徳学園（2022 選手権 1回戦）,聖徳学園 × 2-3 都・東村山（2026 総体 2回戦）
都・東村山,3,6,0.0206,武蔵丘 → 日大鶴ヶ丘 → 拓殖大学第一 → 都・東村山,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 2-0 拓殖大学第一（2024 総体 ブロック決勝）,拓殖大学第一 ○ 8-0 都・東村山（2025 総体 1回戦）
都・東村山,3,4,0.0206,武蔵丘 → 昭和第一学園 → 桐朋 → 都・東村山,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 3-2 桐朋（2025 新人戦 3回戦）,桐朋 ○ 3-0 都・東村山（2024 総体 2回戦）
都・東村山,3,1,0.0206,武蔵丘 → 昭和第一学園 → 明星学園 → 都・東村山,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 × 0-4 明星学園（2024 総体 ブロック決勝）,明星学園 ○ 5-0 都・東村山（2025 選手権 2回戦）
都・東村山,3,3,0.0206,武蔵丘 → 都・府中 → 桐朋 → 都・東村山,武蔵丘 ○ 4-0 都・府中（2023 選手権 1回戦）,都・府中 × 1-5 桐朋（2024 新人戦 3回戦）,桐朋 ○ 3-0 都・東村山（2024 総体 2回戦）
都・東村山,3,2,0.0144,武蔵丘 → 日大鶴ヶ丘 → 明星学園 → 都・東村山,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 × 3-5 明星学園（2023 総体 1回戦）,明星学園 ○ 5-0 都・東村山（2025 選手権 2回戦）
都・東村山,3,3,0.0144,武蔵丘 → 日大鶴ヶ丘 → 都・東大和南 → 都・東村山,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 × 0-1 都・東大和南（2023 選手権 2回戦）,都・東大和南 ○ 7-0 都・東村山（2025 新人戦 2回戦）
都・東村山,3,2,0.0144,武蔵丘 → 豊多摩 → 桐朋 → 都・東村山,武蔵丘 ○ 0-0 PK勝 5-3 豊多摩（2022 総体 2回戦）,豊多摩 × 1-2 桐朋（2024 選手権 1回戦）,桐朋 ○ 3-0 都・東村山（2024 総体 2回戦）
都・東村山,3,5,0.0144,武蔵丘 → 駒場 → 都・小平南 → 都・東村山,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 ○ 5-0 都・小平南（2022 選手権 2回戦）,都・小平南 ○ 3-1 都・東村山（2024 新人戦 1回戦）
都・東村山,3,5,0.0144,武蔵丘 → 昭和第一学園 → 都・東大和南 → 都・東村山,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 1-1 PK勝 5-3 都・東大和南（2023 総体 2回戦）,都・東大和南 ○ 7-0 都・東村山（2025 新人戦 2回戦）
都・東村山,3,7,0.0144,武蔵丘 → 都・府中 → 桐朋 → 都・東村山,武蔵丘 ○ 4-0 都・府中（2023 選手権 1回戦）,都・府中 ○ 1-1 PK勝 5-3 桐朋（2023 新人戦 準々決勝）,桐朋 ○ 3-0 都・東村山（2024 総体 2回戦）
都・東村山,3,3,0.0144,武蔵丘 → 保善 → 都・国分寺 → 都・東村山,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 3-0 都・国分寺（2024 総体 1回戦）,都・国分寺 ○ 9-0 都・東村山（2023 総体 2回戦）
都・東村山,3,5,0.0101,武蔵丘 → 豊多摩 → 都・国分寺 → 都・東村山,武蔵丘 ○ 0-0 PK勝 5-3 豊多摩（2022 総体 2回戦）,豊多摩 ○ 0-0 PK勝 4-3 都・国分寺（2024 選手権 ブロック決勝）,都・国分寺 ○ 9-0 都・東村山（2023 総体 2回戦）
都・東村山,3,-2,0.0101,武蔵丘 → 目黒日大 → 桐朋 → 都・東村山,武蔵丘 × 0-1 目黒日大（2023 総体 1回戦）,目黒日大 × 0-4 桐朋（2022 選手権 2回戦）,桐朋 ○ 3-0 都・東村山（2024 総体 2回戦）
都・東村山,3,6,0.0101,武蔵丘 → 学大附 → 町田工業 → 都・東村山,武蔵丘 ○ 1-1 PK勝 4-3 学大附（2022 選手権 1回戦）,学大附 ○ 10-0 町田工業（2025 総体 1回戦）,町田工業 ○ 2-1 都・東村山（2022 選手権 2回戦）
都・東村山,3,5,0.0101,武蔵丘 → 昭和第一学園 → 明星学園 → 都・東村山,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 × 1-1 PK負 4-5 明星学園（2022 総体 ブロック決勝）,明星学園 ○ 5-0 都・東村山（2025 選手権 2回戦）
都・東村山,3,3,0.0101,武蔵丘 → 昭和第一学園 → 桐朋 → 都・東村山,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 1-1 PK勝 5-4 桐朋（2023 総体 ブロック決勝）,桐朋 ○ 3-0 都・東村山（2024 総体 2回戦）
都・東村山,3,0,0.0071,武蔵丘 → 明大中野 → 都・国分寺 → 都・東村山,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 × 0-3 都・国分寺（2023 総体 ブロック決勝）,都・国分寺 ○ 9-0 都・東村山（2023 総体 2回戦）
都・東村山,3,6,0.0071,武蔵丘 → 野津田 → 町田工業 → 都・東村山,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 4-0 町田工業（2022 総体 2回戦）,町田工業 ○ 2-1 都・東村山（2022 選手権 2回戦）
都・東村山,3,4,0.0071,武蔵丘 → 野津田 → 町田工業 → 都・東村山,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 4-2 町田工業（2022 選手権 ブロック決勝）,町田工業 ○ 2-1 都・東村山（2022 選手権 2回戦）
都・東村山,3,3,0.0049,武蔵丘 → 昭和第一学園 → 啓明学園 → 都・東村山,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 3-0 啓明学園（2023 総体 1回戦）,啓明学園 ○ 0-0 PK勝 10-9 都・東村山（2022 総体 1回戦）
