相手,段数,目安の得点差,重み,経路,試合1,試合2,試合3
昭和第一,3,-1,0.0101,武蔵丘 → 杉並学院 → 鷺宮 → 昭和第一,武蔵丘 × 2-3 杉並学院（2023 新人戦 3回戦）,杉並学院 × 0-2 鷺宮（2022 新人戦 1回戦）,鷺宮 ○ 4-2 昭和第一（2024 選手権 1回戦）
昭和第一,3,5,0.0101,武蔵丘 → 日大鶴ヶ丘 → 鷺宮 → 昭和第一,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 4-0 鷺宮（2023 新人戦 3回戦）,鷺宮 ○ 4-2 昭和第一（2024 選手権 1回戦）
昭和第一,3,5,0.0101,武蔵丘 → 日大鶴ヶ丘 → 武蔵 → 昭和第一,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 5-2 武蔵（2023 新人戦 準決勝）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,-1,0.0101,武蔵丘 → 日大鶴ヶ丘 → 都・小平 → 昭和第一,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 ○ 3-0 都・小平（2022 選手権 2回戦）,都・小平 × 0-3 昭和第一（2023 選手権 1回戦）
昭和第一,3,3,0.0101,武蔵丘 → 豊多摩 → 武蔵 → 昭和第一,武蔵丘 ○ 0-0 PK勝 5-3 豊多摩（2022 総体 2回戦）,豊多摩 × 3-3 PK負 6-7 武蔵（2023 新人戦 準々決勝）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,4,0.0101,武蔵丘 → 昭和第一学園 → 明大明治 → 昭和第一,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 × 0-1 明大明治（2024 新人戦 準決勝）,明大明治 ○ 6-1 昭和第一（2023 選手権 2回戦）
昭和第一,3,3,0.0101,武蔵丘 → 昭和第一学園 → 明大明治 → 昭和第一,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 × 0-2 明大明治（2024 選手権 ブロック決勝）,明大明治 ○ 6-1 昭和第一（2023 選手権 2回戦）
昭和第一,3,4,0.0101,武蔵丘 → 都・府中 → 明大明治 → 昭和第一,武蔵丘 ○ 4-0 都・府中（2023 選手権 1回戦）,都・府中 × 0-8 明大明治（2023 新人戦 準決勝）,明大明治 ○ 6-1 昭和第一（2023 選手権 2回戦）
昭和第一,3,3,0.0101,武蔵丘 → 保善 → 淑徳巣鴨 → 昭和第一,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 6-1 淑徳巣鴨（2023 選手権 ブロック決勝）,淑徳巣鴨 ○ 3-0 昭和第一（2023 総体 2回戦）
昭和第一,3,-1,0.0071,武蔵丘 → 明大中野 → 武蔵 → 昭和第一,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 × 2-4 武蔵（2022 新人戦 準々決勝）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,0,0.0071,武蔵丘 → 明大中野 → 本郷 → 昭和第一,武蔵丘 × 1-3 明大中野（2022 新人戦 3回戦）,明大中野 × 0-3 本郷（2024 選手権 2回戦）,本郷 ○ 8-0 昭和第一（2022 新人戦 3回戦）
昭和第一,3,3,0.0071,武蔵丘 → 日大鶴ヶ丘 → 武蔵 → 昭和第一,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 1-0 武蔵（2022 新人戦 準決勝）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
