年度,リーグ,区分,ホーム,ホーム学校,ホーム区分,アウェイ,アウェイ学校,アウェイ区分,得点H,得点A,出典
2021,NSリーグ,1部,武蔵丘,武蔵丘,,早大学院B,早大学院,B,4,2,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,1部,武蔵丘,武蔵丘,,日大二A,日大二,A,0,3,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,1部,早大学院B,早大学院,B,日大二A,日大二,A,0,1,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,杉並アヤックス,杉並アヤックス,,実践学園F,実践学園,F,1,2,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,杉並アヤックス,杉並アヤックス,,明大中野B,明大中野,B,0,2,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,杉並アヤックス,杉並アヤックス,,東大附属,東大附属,,5,0,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,杉並アヤックス,杉並アヤックス,,早大学院C,早大学院,C,1,2,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,実践学園F,実践学園,F,明大中野B,明大中野,B,4,1,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,実践学園F,実践学園,F,東大附属,東大附属,,5,0,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,実践学園F,実践学園,F,早大学院C,早大学院,C,2,0,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,明大中野B,明大中野,B,東大附属,東大附属,,3,2,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,明大中野B,明大中野,B,早大学院C,早大学院,C,0,5,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2021,NSリーグ,3部Dブロック,東大附属,東大附属,,早大学院C,早大学院,C,1,6,waseda_2021-Tリーグ・NSリーグ星取表-1.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,日大豊山,日大豊山,,6,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,東京実業,東京実業,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,実践学園Ｂ,実践学園,B,2,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,國學院久我山Ｃ,国学院久我山,C,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,保善,保善,,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,トリプレッタ,トリプレッタ,,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,東海大菅生,東海大菅生,,3,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,東京,東京,,3,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,都・石神井,石神井,,早大学院,早大学院,,2,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,日大豊山,日大豊山,,東京実業,東京実業,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,日大豊山,日大豊山,,実践学園Ｂ,実践学園,B,3,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,日大豊山,日大豊山,,國學院久我山Ｃ,国学院久我山,C,2,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,日大豊山,日大豊山,,保善,保善,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,日大豊山,日大豊山,,トリプレッタ,トリプレッタ,,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,日大豊山,日大豊山,,東海大菅生,東海大菅生,,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,日大豊山,日大豊山,,東京,東京,,3,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,日大豊山,日大豊山,,早大学院,早大学院,,4,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東京実業,東京実業,,実践学園Ｂ,実践学園,B,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東京実業,東京実業,,國學院久我山Ｃ,国学院久我山,C,4,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東京実業,東京実業,,保善,保善,,3,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東京実業,東京実業,,トリプレッタ,トリプレッタ,,1,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東京実業,東京実業,,東海大菅生,東海大菅生,,3,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東京実業,東京実業,,東京,東京,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東京実業,東京実業,,早大学院,早大学院,,0,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,実践学園Ｂ,実践学園,B,國學院久我山Ｃ,国学院久我山,C,3,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,実践学園Ｂ,実践学園,B,保善,保善,,4,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,実践学園Ｂ,実践学園,B,トリプレッタ,トリプレッタ,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,実践学園Ｂ,実践学園,B,東海大菅生,東海大菅生,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,実践学園Ｂ,実践学園,B,東京,東京,,5,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,実践学園Ｂ,実践学園,B,早大学院,早大学院,,1,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,國學院久我山Ｃ,国学院久我山,C,保善,保善,,1,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,國學院久我山Ｃ,国学院久我山,C,トリプレッタ,トリプレッタ,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,國學院久我山Ｃ,国学院久我山,C,東海大菅生,東海大菅生,,0,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,國學院久我山Ｃ,国学院久我山,C,東京,東京,,1,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,國學院久我山Ｃ,国学院久我山,C,早大学院,早大学院,,2,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,保善,保善,,トリプレッタ,トリプレッタ,,2,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,保善,保善,,東海大菅生,東海大菅生,,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,保善,保善,,東京,東京,,1,5,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,保善,保善,,早大学院,早大学院,,1,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,トリプレッタ,トリプレッタ,,東海大菅生,東海大菅生,,2,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,トリプレッタ,トリプレッタ,,東京,東京,,0,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,トリプレッタ,トリプレッタ,,早大学院,早大学院,,3,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東海大菅生,東海大菅生,,東京,東京,,4,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東海大菅生,東海大菅生,,早大学院,早大学院,,2,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグBブロック,東京,東京,,早大学院,早大学院,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tリーグ,T3リーグ7位・8位順位決定戦,東京成徳,東京成徳大高,,早大学院,早大学院,,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,堀越,堀越,,1,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,大森学園,大森学園,,4,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,暁星,暁星,,0,9,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,都・駒場,駒場,,3,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,修徳,修徳,,2,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,東海大菅生,東海大菅生,,1,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,トリプレッタ,トリプレッタ,,0,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,日大豊山,日大豊山,,1,11,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東京朝鮮,東京朝鮮,,早大学院,早大学院,,1,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,堀越,堀越,,大森学園,大森学園,,5,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,堀越,堀越,,暁星,暁星,,1,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,堀越,堀越,,都・駒場,駒場,,3,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,堀越,堀越,,修徳,修徳,,3,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,堀越,堀越,,東海大菅生,東海大菅生,,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,堀越,堀越,,トリプレッタ,トリプレッタ,,4,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,堀越,堀越,,日大豊山,日大豊山,,2,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,堀越,堀越,,早大学院,早大学院,,4,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,大森学園,大森学園,,暁星,暁星,,0,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,大森学園,大森学園,,都・駒場,駒場,,3,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,大森学園,大森学園,,修徳,修徳,,0,9,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,大森学園,大森学園,,東海大菅生,東海大菅生,,0,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,大森学園,大森学園,,トリプレッタ,トリプレッタ,,0,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,大森学園,大森学園,,日大豊山,日大豊山,,1,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,大森学園,大森学園,,早大学院,早大学院,,0,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,暁星,暁星,,都・駒場,駒場,,2,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,暁星,暁星,,修徳,修徳,,3,7,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,暁星,暁星,,東海大菅生,東海大菅生,,1,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,暁星,暁星,,トリプレッタ,トリプレッタ,,3,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,暁星,暁星,,日大豊山,日大豊山,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,暁星,暁星,,早大学院,早大学院,,4,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,都・駒場,駒場,,修徳,修徳,,3,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,都・駒場,駒場,,東海大菅生,東海大菅生,,2,6,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,都・駒場,駒場,,トリプレッタ,トリプレッタ,,3,5,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,都・駒場,駒場,,日大豊山,日大豊山,,3,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,都・駒場,駒場,,早大学院,早大学院,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,修徳,修徳,,東海大菅生,東海大菅生,,6,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,修徳,修徳,,日大豊山,日大豊山,,1,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,修徳,修徳,,早大学院,早大学院,,6,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東海大菅生,東海大菅生,,トリプレッタ,トリプレッタ,,2,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東海大菅生,東海大菅生,,日大豊山,日大豊山,,0,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,東海大菅生,東海大菅生,,早大学院,早大学院,,3,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,トリプレッタ,トリプレッタ,,日大豊山,日大豊山,,1,5,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,トリプレッタ,トリプレッタ,,早大学院,早大学院,,5,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,Tokyo Unity League,(U-16)2部,日大豊山,日大豊山,,早大学院,早大学院,,4,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,國學院久我山Ｅ,国学院久我山,E,1,7,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,都・鷺宮,鷺宮,,0,13,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,専大附属Ａ,専大附属,A,0,9,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,早大学院Ｂ,早大学院,B,0,12,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,都・武蔵丘,武蔵丘,,0,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,明大中野Ａ,明大中野,A,0,6,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,杉並ソシオＡ,杉並ソシオ,A,0,13,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,都・光が丘Ａ,光が丘,A,0,5,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・大泉,大泉,,都・田無Ａ,田無,A,1,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,國學院久我山Ｅ,国学院久我山,E,都・鷺宮,鷺宮,,2,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,國學院久我山Ｅ,国学院久我山,E,専大附属Ａ,専大附属,A,0,5,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,國學院久我山Ｅ,国学院久我山,E,早大学院Ｂ,早大学院,B,2,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,國學院久我山Ｅ,国学院久我山,E,都・武蔵丘,武蔵丘,,1,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,國學院久我山Ｅ,国学院久我山,E,明大中野Ａ,明大中野,A,3,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,國學院久我山Ｅ,国学院久我山,E,杉並ソシオＡ,杉並ソシオ,A,1,6,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,國學院久我山Ｅ,国学院久我山,E,都・光が丘Ａ,光が丘,A,1,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,國學院久我山Ｅ,国学院久我山,E,都・田無Ａ,田無,A,3,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・鷺宮,鷺宮,,専大附属Ａ,専大附属,A,0,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・鷺宮,鷺宮,,早大学院Ｂ,早大学院,B,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・鷺宮,鷺宮,,都・武蔵丘,武蔵丘,,4,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・鷺宮,鷺宮,,明大中野Ａ,明大中野,A,1,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・鷺宮,鷺宮,,杉並ソシオＡ,杉並ソシオ,A,1,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・鷺宮,鷺宮,,都・光が丘Ａ,光が丘,A,3,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・鷺宮,鷺宮,,都・田無Ａ,田無,A,8,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,専大附属Ａ,専大附属,A,早大学院Ｂ,早大学院,B,3,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,専大附属Ａ,専大附属,A,都・武蔵丘,武蔵丘,,6,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,専大附属Ａ,専大附属,A,明大中野Ａ,明大中野,A,1,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,専大附属Ａ,専大附属,A,杉並ソシオＡ,杉並ソシオ,A,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,専大附属Ａ,専大附属,A,都・光が丘Ａ,光が丘,A,3,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,専大附属Ａ,専大附属,A,都・田無Ａ,田無,A,3,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,早大学院Ｂ,早大学院,B,都・武蔵丘,武蔵丘,,9,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,早大学院Ｂ,早大学院,B,明大中野Ａ,明大中野,A,4,3,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,早大学院Ｂ,早大学院,B,杉並ソシオＡ,杉並ソシオ,A,0,4,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,早大学院Ｂ,早大学院,B,都・光が丘Ａ,光が丘,A,3,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,早大学院Ｂ,早大学院,B,都・田無Ａ,田無,A,16,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・武蔵丘,武蔵丘,,明大中野Ａ,明大中野,A,1,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・武蔵丘,武蔵丘,,杉並ソシオＡ,杉並ソシオ,A,1,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・武蔵丘,武蔵丘,,都・光が丘Ａ,光が丘,A,0,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・武蔵丘,武蔵丘,,都・田無Ａ,田無,A,5,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,明大中野Ａ,明大中野,A,杉並ソシオＡ,杉並ソシオ,A,2,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,明大中野Ａ,明大中野,A,都・光が丘Ａ,光が丘,A,2,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,明大中野Ａ,明大中野,A,都・田無Ａ,田無,A,8,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,杉並ソシオＡ,杉並ソシオ,A,都・光が丘Ａ,光が丘,A,5,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,杉並ソシオＡ,杉並ソシオ,A,都・田無Ａ,田無,A,9,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,1部,都・光が丘Ａ,光が丘,A,都・田無Ａ,田無,A,4,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,都・豊多摩A,豊多摩,A,中大杉並,中大杉並,,0,2,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,都・豊多摩A,豊多摩,A,佼成学園,佼成学園,,5,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,都・豊多摩A,豊多摩,A,都・富士,富士,,7,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,都・豊多摩A,豊多摩,A,都・杉並Ａ,杉並,A,3,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,都・豊多摩A,豊多摩,A,都・石神井Ｂ,石神井,B,2,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,都・豊多摩A,豊多摩,A,早大学院Ｃ,早大学院,C,1,5,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,都・豊多摩A,豊多摩,A,明大中野Ｂ,明大中野,B,5,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,中大杉並,中大杉並,,佼成学園,佼成学園,,1,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,中大杉並,中大杉並,,都・富士,富士,,6,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,中大杉並,中大杉並,,都・杉並Ａ,杉並,A,3,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,中大杉並,中大杉並,,都・石神井Ｂ,石神井,B,1,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,中大杉並,中大杉並,,早大学院Ｃ,早大学院,C,2,1,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
2022,NSリーグ,2部Bブロック,中大杉並,中大杉並,,明大中野Ｂ,明大中野,B,4,0,waseda_2022-Tリーグ・ユニティリーグ・NSリーグ星取表.pdf
