tid,種類,年度,リーグ名,部,URL
14208,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14208
14209,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14209
14210,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14210
14211,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14211
14212,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14212
14213,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14213
14214,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14214
14215,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14215
14216,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14216
14217,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14217
14226,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14226
14227,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14227
14228,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14228
14229,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14229
14230,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14230
14231,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14231
14232,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14232
14233,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14233
14234,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14234
14235,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14235
14236,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14236
14237,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14237
14238,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14238
14239,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14239
14240,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14240
14241,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14241
14242,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14242
14245,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14245
14246,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14246
14247,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14247
14248,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14248
14249,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14249
14254,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14254
14256,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14256
14257,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14257
14263,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14263
14332,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14332
